Company,Location,Industry,Laid_Off_Count,Percentage,Date,Source,Funds_Raised,Stage,Date_Added,Country,List_of_Employees_Laid_Off
JD.ID,Jakarta,Retail,200,0.3,2022-12-14,https://jakartaglobe.id/business/jdid-layoffs-reflect-struggles-in-indonesian-startup-industry,5100.0,IPO,2022-12-15 02:19:38,Indonesia,Unknown
GoStudent,Vienna,Education,100,,2022-12-14,https://www.businessinsider.com/gostudent-3-billion-edtech-startup-begins-fresh-round-of-layoffs-2022-12,686.0,Series D,2022-12-15 02:11:42,Austria,Unknown
ChowNow,Los Angeles,Food,40,0.1,2022-12-14,https://www.restaurantbusinessonline.com/amp/technology/chownow-cuts-more-jobs-delivery-demand-levels-out,64.0,Series C,2022-12-15 02:10:04,United States,Unknown
Landing,Birmingham,Real Estate,,,2022-12-14,https://www.al.com/business/2022/12/birmingham-tech-firm-landing-has-second-round-of-layoffs.html,347.0,Series C,2022-12-15 02:10:48,United States,Unknown
Thumbtack,SF Bay Area,Consumer,160,0.14,2022-12-13,Internal memo,698.0,Series I,2022-12-13 20:12:50,United States,Unknown
Edgio,Phoenix,Infrastructure,95,0.1,2022-12-13,https://www.marketscreener.com/amp/quote/stock/EDGIO-INC-52799/news/EDGIO-INC-Costs-Associated-with-Exit-or-Disposal-Activities-Change-in-Directors-or-Principal-Of-42549605/,462.0,IPO,2022-12-15 02:14:17,United States,Unknown
Komodo Health,SF Bay Area,Healthcare,78,0.09,2022-12-13,https://techcrunch.com/2022/12/13/komodo-health-once-tipped-for-a-looming-ipo-has-cut-staff-as-cfo-departs/,50.0,Series C,2022-12-13 20:11:49,United States,Unknown
Pluralsight,Salt Lake City,Education,400,0.2,2022-12-12,https://www.pluralsight.com/newsroom/press-releases/ceo-aaron-skonnard-email-to-pluralsight,192.0,Acquired,2022-12-12 22:08:18,United States,https://docs.google.com/spreadsheets/d/1l10lFdaYxDWpmJorxd5cml_bBQ0qMhqngZvKEJP5m2o/edit#gid=0
Freshly,Phoenix,Food,329,,2022-12-12,https://mouthbysouthwest.com/2022/12/12/phoenix-born-freshly-is-laying-off-329-local-workers-in-strategy-shift/,107.0,Acquired,2022-12-14 17:57:42,United States,Unknown
Balto,St. Louis,Sales,35,,2022-12-12,https://www.bizjournals.com/stlouis/inno/stories/news/2022/12/12/balto-software-layoffs.html,51.0,Series B,2022-12-13 20:08:07,United States,Unknown
Outschool,SF Bay Area,Education,43,0.25,2022-12-10,https://techcrunch.com/2022/12/10/some-of-edtech-boldest-are-struggling/,240.0,Series D,2022-12-13 20:07:23,United States,Unknown
Xentral,Munich,Product,20,0.1,2022-12-10,https://www.businessinsider.de/gruenderszene/business/xentral-entlassungen/,94.0,Series B,2022-12-13 20:02:56,Germany,Unknown
Autobooks,Detroit,Finance,,,2022-12-10,https://www.crainsdetroit.com/technology/fintech-startup-autobooks-lays-workers,97.0,Series C,2022-12-11 03:36:27,United States,Unknown
Convene,New York City,Real Estate,,,2022-12-10,https://www.linkedin.com/posts/ryan-simonetti-5873887_like-many-companies-weve-had-to-reassess-activity-7007097001259507712-ZpTF/,281.0,Unknown,2022-12-13 20:05:53,United States,Unknown
PharmEasy,Mumbai,Healthcare,,,2022-12-10,https://inc42.com/buzz/pharmeasy-lays-off-more-employees-amid-funding-crunch/,1600.0,Unknown,2022-12-11 06:25:36,India,Unknown
Playtika,Tel Aviv,Consumer,600,0.15,2022-12-09,https://en.globes.co.il/en/article-playtika-to-lay-off-600-1001432312,,IPO,2022-12-11 06:01:30,Israel,Unknown
Share Now,Berlin,Transportation,150,0.36,2022-12-09,https://www.businessinsider.de/gruenderszene/automotive-mobility/carsharing-sharenow-entlassungen-a/,,Acquired,2022-12-13 20:05:00,Germany,Unknown
Alice,Sao Paulo,Healthcare,113,0.16,2022-12-09,https://startups.com.br/demissoes/alice-faz-nova-onda-de-demissoes-e-dispensa-113-pessoas/,174.0,Series C,2022-12-11 03:31:04,Brazil,Unknown
Primer,London,Finance,85,0.33,2022-12-09,https://techcrunch.com/2022/12/09/primer-the-uk-e-commerce-tech-startup-has-laid-off-one-third-of-its-staff/,73.0,Series B,2022-12-09 16:37:23,United Kingdom,Unknown
C2FO,Kansas City,Finance,20,0.02,2022-12-09,https://www.bizjournals.com/kansascity/news/2022/12/09/c2fo-layoff-recession-efficiency-profitability.html,537.0,Series H,2022-12-11 05:58:32,United States,Unknown
Brodmann17,Tel Aviv,Other,,1.0,2022-12-09,https://techcrunch.com/2022/12/09/computer-vision-technology-startup-brodmann17-has-shut-down/,25.0,Series A,2022-12-11 06:17:56,Israel,Unknown
Digital Surge,Brisbane,Crypto,,1.0,2022-12-09,https://www.9news.com.au/technology/australian-cryptocurrency-exchange-digital-surge-collapses-into-administration/ebbeb40c-6310-4250-b123-600bc6755cc5,,Unknown,2022-12-11 06:09:24,Australia,Unknown
N-able Technologies,Raleigh,Other,,,2022-12-09,Unknown,225.0,IPO,2022-12-09 22:12:27,United States,Unknown
ZenLedger,Seattle,Crypto,,0.1,2022-12-09,https://blockworks.co/news/another-crypto-tax-software-startup-is-laying-off-staffers,25.0,Series B,2022-12-11 05:56:55,United States,Unknown
Airtable,SF Bay Area,Product,254,0.2,2022-12-08,https://techcrunch.com/2022/12/08/airtable-layoffs/,1400.0,Series F,2022-12-08 17:48:07,United States,Unknown
Swiggy,Bengaluru,Food,250,0.03,2022-12-08,https://inc42.com/buzz/swiggy-fire-250-employees-further-layoffs-store/,3600.0,Unknown,2022-12-09 05:00:53,India,Unknown
Glints,Singapore,HR,198,0.18,2022-12-08,https://www.techinasia.com/singaporebased-glints-lays-18-employees,82.0,Series D,2022-12-09 05:07:33,Singapore,Unknown
Buser,Sao Paulo,Transportation,160,0.3,2022-12-08,https://startups.com.br/demissoes/buser-demite-30-para-se-adaptar-a-nova-realidade-do-mercado/,138.0,Series C,2022-12-11 06:00:24,Brazil,https://docs.google.com/spreadsheets/d/1KkOxvPis13EC3MSsFtsGgNIBFv-FFEZ1-p2MTL2IDgY/htmlview
BlackLine,Los Angeles,Finance,95,0.05,2022-12-08,https://seekingalpha.com/news/3915452-blackline-to-cut-jobs-by-5-globally-sec-filing,220.0,Private Equity,2022-12-11 06:15:28,United States,Unknown
Otonomo,Tel Aviv,Transportation,80,0.5,2022-12-08,https://www.calcalistech.com/ctechnews/article/bjbvjqyoi,231.0,IPO,2022-12-11 06:07:24,Israel,Unknown
TechTarget,Boston,Marketing,60,0.05,2022-12-08,https://www.marketwatch.com/story/techtarget-focuses-on-restructuring-plan-cutting-60-positions-271670628385,115.0,IPO,2022-12-11 06:02:55,United States,Unknown
Inscripta,Boulder,Healthcare,43,,2022-12-08,https://www.genomeweb.com/business-news/inscripta-lays-dozens-closes-colorado-headquarters-san-diego-office#.Y5JvGOzMK8A,459.0,Series E,2022-12-09 05:02:33,United States,Unknown
CyCognito,SF Bay Area,Security,30,0.15,2022-12-08,https://www.calcalistech.com/ctechnews/article/h1suse100s,153.0,Series C,2022-12-09 05:03:17,United States,Unknown
Armis,SF Bay Area,Security,25,0.04,2022-12-08,https://www.calcalistech.com/ctechnews/article/by6mtcjuo,537.0,Private Equity,2022-12-11 03:35:08,United States,Unknown
Bakkt,Atlanta,Crypto,,0.15,2022-12-08,https://bakkt.com/newsroom/a-note-from-gavin-michael-to-bakkt-employees-bakkt,932.0,IPO,2022-12-11 03:37:41,United States,Unknown
Blue Apron,New York City,Food,,0.1,2022-12-08,https://investors.blueapron.com/press-releases/2022/12-08-2022-140712547,352.0,IPO,2022-12-08 17:06:37,United States,Unknown
FireHydrant,New York City,Infrastructure,,,2022-12-08,https://www.linkedin.com/posts/bobby-tables_today-weve-made-major-changes-at-firehydrant-activity-7006723101807763456-dU8s/,32.0,Series B,2022-12-11 06:13:18,United States,Unknown
Nerdy,St. Louis,Education,,0.17,2022-12-08,https://www.bizjournals.com/stlouis/news/2022/12/08/online-tutoring-firm-nerdy-slashes.html,150.0,IPO,2022-12-11 06:08:11,United States,Unknown
Vanta,SF Bay Area,Security,,0.14,2022-12-08,LinkedIn,203.0,Series B,2022-12-11 03:32:39,United States,Unknown
Vedantu,Bengaluru,Education,385,,2022-12-07,https://economictimes.indiatimes.com/tech/startups/edtech-firm-vedantu-cuts-385-jobs-in-fourth-round-of-layoffs-this-year/articleshow/96060595.cms,292.0,Series E,2022-12-07 16:28:02,India,Unknown
Loft,Sao Paulo,Real Estate,312,0.12,2022-12-07,https://www.bloomberglinea.com/english/brazilian-unicorn-loft-sheds-12-of-staff-in-third-wave-of-layoffs-this-year/,788.0,Unknown,2022-12-08 06:26:02,Brazil,Unknown
Plaid,SF Bay Area,Finance,260,0.2,2022-12-07,https://techcrunch.com/2022/12/07/plaid-layoff-fintech/,734.0,Series D,2022-12-07 16:22:04,United States,https://docs.google.com/spreadsheets/d/1Tqw-IuLmMZJMvKkzH9ouq4ulDp0LEC6azKXtjh9ulpU/edit
Motive,SF Bay Area,Transportation,237,0.06,2022-12-07,https://gomotive.com/blog/shoaib-makanis-message-to-employees/,567.0,Series F,2022-12-08 06:21:12,United States,https://docs.google.com/spreadsheets/d/e/2PACX-1vT-99jxJLo_tUHWQboamwf6yvRKUh0HCLWLWbjzbkZOWQcRzituc7D7K7wyATgOazFDtcBLSMPiKNWG/pubhtml
Relativity,Chicago,Legal,150,0.1,2022-12-07,https://www.chicagobusiness.com/technology/software-firm-relativity-cuts-10-staff,125.0,Private Equity,2022-12-08 06:22:20,United States,Unknown
Voi,Stockholm,Transportation,130,0.13,2022-12-07,https://www.breakit.se/artikel/35283/voi-tvingas-drar-ner-igen-vi-ar-mycket-ledsna,515.0,Series D,2022-12-08 06:24:32,United States,Unknown
Integral Ad Science,New York City,Marketing,120,0.13,2022-12-07,https://investors.integralads.com/node/7871/html,116.0,Acquired,2022-12-08 06:23:13,United States,Unknown
Grover,Berlin,Retail,40,0.1,2022-12-07,https://www.businessinsider.de/gruenderszene/business/entlassungen-bei-berliner-neu-unicorn-grover/?fbclid=IwAR3o2sB8MmcX3_y8HaAeRqIUU2T8YNYokRDZz5Nxkr0BjzhYRs84fR2hrW8,2300.0,Unknown,2022-12-07 19:18:57,United States,Unknown
Lev,New York City,Real Estate,30,0.3,2022-12-07,https://therealdeal.com/2022/12/07/cre-finance-platform-lev-lays-off-chunk-of-staff/,114.0,Series B,2022-12-11 06:19:37,United States,Unknown
Lithic,New York City,Finance,27,0.18,2022-12-07,https://www.axios.com/pro/fintech-deals/2022/12/07/fintech-lithic-lays-off-27,115.0,Series C,2022-12-09 00:46:59,United States,Unknown
CircleCI,SF Bay Area,Product,,0.17,2022-12-07,https://circleci.com/blog/ceo-jim-rose-email-to-circleci-employees/,315.0,Series F,2022-12-07 21:47:26,United States,https://docs.google.com/spreadsheets/d/1A_1uk6qP_a0C2bwKcvV7G-meypWCgW-giK9O2UG8p_k/edit
Sayurbox,Jakarta,Food,,0.05,2022-12-07,https://www.techinasia.com/sayurbox-lays-off-2022,139.0,Series C,2022-12-09 05:08:34,Indonesia,Unknown
Zywave,Milwaukee,Finance,,,2022-12-07,https://www.bizjournals.com/milwaukee/news/2022/12/07/zywave-layoffs-growth-slows.html,,Acquired,2022-12-09 05:09:37,United States,Unknown
Doma,SF Bay Area,Finance,515,0.4,2022-12-06,https://investor.doma.com/node/8161/html,679.0,IPO,2022-12-07 06:21:36,United States,Unknown
BuzzFeed,New York City,Media,180,0.12,2022-12-06,https://variety.com/2022/digital/news/buzzfeed-layoffs-12-percent-employees-1235451552/,696.0,IPO,2022-12-06 18:40:43,United States,Unknown
Weedmaps,Los Angeles,Other,175,0.25,2022-12-06,https://www.businessinsider.com/weedmaps-cannabis-company-layoffs-cutting-workforce-2022-12,,Acquired,2022-12-07 06:29:37,United States,Unknown
Adobe,SF Bay Area,Marketing,100,,2022-12-06,https://www.bloomberg.com/news/articles/2022-12-06/adobe-cuts-100-jobs-concentrated-in-sales-as-tech-tightens-belt,2.0,IPO,2022-12-07 06:30:37,United States,Unknown
Chipper Cash,SF Bay Area,Finance,50,0.125,2022-12-06,https://techcrunch.com/2022/12/06/african-fintech-unicorn-chipper-cash-lays-off-about-12-5-of-staff/,302.0,Series C,2022-12-07 02:37:02,United States,Unknown
Stash,New York City,Finance,32,0.08,2022-12-06,https://lp.stash.com/news/saying-goodbye-to-some-of-our-colleagues-and-looking-towards-the-future/,480.0,Unknown,2022-12-07 02:38:29,United States,Unknown
Perimeter 81,Tel Aviv,Security,20,0.08,2022-12-06,https://www.calcalistech.com/ctechnews/article/hjgmdpnws,165.0,Series C,2022-12-07 02:35:54,Israel,Unknown
Koinly,London,Crypto,16,0.14,2022-12-06,https://blockworks.co/news/crypto-tax-startup-koinly-cuts-staffers-just-in-time-for-tax-season,,Unknown,2022-12-07 06:19:29,United Kingdom,Unknown
Nextiva,Phoenix,Other,,0.17,2022-12-06,https://www.channelfutures.com/business-models/nextiva-layoffs-impact-17-of-workforce-including-partner-development-leader-hilary-gadda,200.0,Private Equity,2022-12-07 06:32:57,United States,Unknown
OneStudyTeam,Boston,Healthcare,,0.25,2022-12-06,https://www.mobihealthnews.com/news/onestudyteam-lays-about-quarter-its-workforce,479.0,Series D,2022-12-07 06:37:12,United States,Unknown
Zuora,SF Bay Area,Finance,,0.11,2022-12-06,https://www.morningstar.com/news/marketwatch/20221206496/zuora-beats-on-earnings-but-misses-on-outlook-while-announcing-layoffs,647.0,IPO,2022-12-07 06:26:48,United States,Unknown
Swyftx,Brisbane,Crypto,90,0.4,2022-12-05,https://www.smh.com.au/business/companies/worst-case-scenario-local-crypto-exchange-swyftx-lays-off-40-percent-of-staff-20221205-p5c3mu.html,,Unknown,2022-12-05 13:26:15,Australia,Unknown
Aqua Security,Boston,Security,65,0.1,2022-12-05,https://www.calcalistech.com/ctechnews/article/s1uxohjvs,265.0,Series E,2022-12-06 18:42:03,United States,Unknown
DataRails,Tel Aviv,Unknown,30,0.18,2022-12-05,https://www.calcalistech.com/ctechnews/article/s1ka1tjvj,103.0,Series B,2022-12-06 00:41:03,Israel,Unknown
Elemy,SF Bay Area,Healthcare,,,2022-12-05,https://bhbusiness.com/2022/12/05/elemy-lays-off-staff-as-it-winds-down-direct-care-for-platform-business/,323.0,Series B,2022-12-06 04:48:23,United States,Unknown
Route,Lehi,Retail,,,2022-12-05,https://www.sltrib.com/news/2022/12/06/2-more-utah-tech-companies-each/,481.0,Unknown,2022-12-07 06:34:19,United States,Unknown
OYO,Gurugram,Travel,600,,2022-12-03,https://www.livemint.com/companies/news/oyo-to-layoff-600-execs-across-technology-teams-hire-250-for-sales-11670056711013.html,4000.0,Series F,2022-12-04 22:53:40,India,Unknown
HealthifyMe,Bengaluru,Fitness,150,,2022-12-03,https://inc42.com/buzz/fitness-healthtech-startup-healthifyme-lays-off-150-employees/,100.0,Series C,2022-12-04 23:00:50,India,Unknown
Bybit,Singapore,Crypto,,0.3,2022-12-03,https://cointelegraph.com/news/bybit-announces-second-round-of-layoffs-in-2022-to-survive-bear-market,,Unknown,2022-12-04 23:04:29,Singapore,Unknown
Cognyte,Tel Aviv,Security,100,0.05,2022-12-02,https://www.globes.co.il/news/article.aspx?did=1001431603,,Unknown,2022-12-04 23:02:11,Israel,Unknown
ShareChat,Bengaluru,Consumer,100,,2022-12-02,https://www.india.com/business/sharechat-layoff-to-effect-over-100-employees-winds-down-fantasy-sport-app-jeet11-sahrechat-sacks-workforce-latest-news-5777356/,1700.0,Unknown,2022-12-03 05:18:35,India,Unknown
Polly,Burlington,Finance,47,0.15,2022-12-02,https://vtdigger.org/2022/12/02/williston-based-insurance-tech-startup-polly-lays-off-47-employees/,184.0,Series C,2022-12-04 23:10:15,United States,Unknown
Lora DiCarlo,Bend,Consumer,,1.0,2022-12-02,https://techcrunch.com/2022/12/02/looks-like-sextech-startup-lora-dicarlo-is-done-for/,9.0,Unknown,2022-12-04 23:09:00,United States,Unknown
Carousell,Singapore,Retail,110,0.1,2022-12-01,https://www.straitstimes.com/singapore/jobs/carousell-cuts-110-jobs-to-rein-in-costs,372.0,Private Equity,2022-12-03 05:02:52,Singapore,Unknown
Bizzabo,New York City,Marketing,100,0.37,2022-12-01,https://www.calcalistech.com/ctechnews/article/h1ajz9idj,194.0,Series E,2022-12-03 04:57:20,United States,Unknown
BloomTech,SF Bay Area,Education,88,0.5,2022-12-01,https://techcrunch.com/2022/12/01/bloomtech-previously-lambda-school-cuts-half-of-staff/,,Unknown,2022-12-01 22:20:09,United States,Unknown
Netlify,SF Bay Area,Product,48,0.16,2022-12-01,Internal memo,212.0,Series D,2022-12-08 17:03:17,United States,Unknown
Podium,Lehi,Support,,0.12,2022-12-01,https://www.businessinsider.com/podium-layoffs-customer-management-startup-2022-12,419.0,Series D,2022-12-01 22:19:10,United States,Unknown
SQZ Biotech,Boston,Healthcare,,0.6,2022-12-01,https://www.fiercebiotech.com/biotech/sqz-ceo-exits-biotech-axes-60-staff-synlogic-succumbs-layoff-pressure,229.0,IPO,2022-12-11 06:21:01,United States,Unknown
Strava,SF Bay Area,Fitness,,0.14,2022-12-01,https://www.bicycleretailer.com/industry-news/2022/12/05/layoffs-affect-about-15-staff-strava#.Y5Jcu-zMK8A,151.0,Series F,2022-12-04 22:56:18,United States,https://docs.google.com/spreadsheets/u/1/d/e/2PACX-1vSm6vCc5Qlyt_RGpugfuvSFlnMjj0C2jU6JwZhc2CNhEuet88bbcDwmRu07eocW0QI9YITWPhNcQ7UO/pubhtml
Synlogic,Boston,Healthcare,,0.25,2022-12-01,https://www.fiercebiotech.com/biotech/sqz-ceo-exits-biotech-axes-60-staff-synlogic-succumbs-layoff-pressure,321.0,IPO,2022-12-11 06:21:59,United States,Unknown
Yapily,London,Finance,,,2022-12-01,https://www.linkedin.com/posts/yapily_a-message-from-our-founder-and-ceo-ensuring-activity-7004119711693066240-ZeUT/,69.0,Series A,2022-12-03 05:16:44,United Kingdom,Unknown
DoorDash,SF Bay Area,Food,1250,0.06,2022-11-30,https://www.reuters.com/business/retail-consumer/doordash-cuts-1250-jobs-an-effort-rein-expenses-2022-11-30/,2500.0,IPO,2022-11-30 15:21:42,United States,https://docs.google.com/spreadsheets/d/1fsgEbzAo9Fgy-v7J_KGIaJxuzEBQfgBKC097tgvr_pY/edit#gid=383975823
Kraken,SF Bay Area,Crypto,1100,0.3,2022-11-30,https://blog.kraken.com/post/16442/business-update/,134.0,Unknown,2022-11-30 16:37:32,United States,Unknown
Happy Money,Los Angeles,Finance,158,0.34,2022-11-30,Internal memo,191.0,Series D,2022-12-01 22:00:23,United States,Unknown
Ula,Jakarta,Retail,134,0.23,2022-11-30,https://dailysocial.id/post/ula-layoff-2022,140.0,Series B,2022-12-01 06:27:24,Indonesia,Unknown
Wonder,New York City,Food,130,0.07,2022-11-30,https://www.theinformation.com/articles/marc-lores-kitchen-on-wheels-startup-cuts-staff-dials-back-delivery-ambitions,850.0,Series B,2022-12-01 06:37:27,United States,Unknown
Grin,Sacramento,Marketing,60,0.13,2022-11-30,https://www.theinformation.com/briefings/influencer-marketing-startup-grin-lays-off-60-employees,145.0,Series B,2022-12-03 04:59:05,United States,Unknown
Ualá,Buenos Aires,Finance,53,0.03,2022-11-30,https://www.perfil.com/noticias/economia/empresa-uala-despidio-medio-centenar-trabajadores.phtml,544.0,Series D,2022-12-01 06:29:00,Argentina,Unknown
Teachmint,Bengaluru,Education,45,0.05,2022-11-30,https://inc42.com/buzz/edtech-startup-teachmint-lays-off-45-employees/,118.0,Series B,2022-12-01 06:34:10,India,Unknown
Etermax,Buenos Aires,Other,40,,2022-11-30,https://www.clarin.com/economia/despidos-reestructuracion-tecnologicas-empresas-achican-pasar-2023_0_uxSUuShZhQ.html,,Unknown,2022-12-01 06:33:17,Argentina,Unknown
Thread,London,Retail,30,0.5,2022-11-30,https://www.drapersonline.com/news/ms-acquires-thread-intellectual-property,40.0,Acquired,2022-12-11 06:23:40,United Kingdom,Unknown
Elastic,SF Bay Area,Data,,0.13,2022-11-30,https://www.elastic.co/blog/ceo-ash-kulkarni-email-to-elastic-employees,162.0,IPO,2022-12-01 06:23:46,United States,Unknown
Motional,Boston,Unknown,,,2022-11-30,https://techcrunch.com/2022/12/01/hyundai-aptiv-backed-av-startup-motional-cuts-workforce/,,Unknown,2022-12-03 05:00:45,United States,Unknown
Pinterest,SF Bay Area,Consumer,,,2022-11-30,https://www.theinformation.com/briefings/pinterest-cuts-recruiting-team-slows-hiring,1500.0,IPO,2022-12-01 22:22:03,United States,Unknown
Bitso,Mexico City,Crypto,100,,2022-11-29,https://portaldobitcoin.uol.com.br/corretora-de-criptomoedas-bitso-faz-segunda-rodada-de-demissoes-no-brasil-e-no-mexico/,378.0,Series C,2022-11-30 06:19:06,Mexico,Unknown
Lyst,London,Retail,50,0.25,2022-11-29,https://techcrunch.com/2022/11/29/lyst-the-uk-fashion-marketplace-is-laying-off-25-of-staff/,144.0,Unknown,2022-11-30 06:03:36,United Kingdom,Unknown
CoinJar,Melbourne,Crypto,10,0.2,2022-11-29,https://www.theaustralian.com.au/business/technology/melbourne-crypto-startup-coinjar-axes-20pc-of-workforce/news-story/485648b4b36a538ff7c00287adb57d5a,1.0,Unknown,2022-11-30 06:20:29,Australia,Unknown
Bitfront,SF Bay Area,Crypto,,1.0,2022-11-29,https://www.reuters.com/technology/crypto-exchange-bitfront-shuts-down-2022-11-29/,,Unknown,2022-11-30 05:54:28,United States,Unknown
Codexis,SF Bay Area,Healthcare,,0.18,2022-11-29,https://www.codexis.com/investors/news-events/press-releases/detail/342/codexis-provides-update-on-prioritized-corporate-strategy,162.0,IPO,2022-11-30 06:17:39,United States,Unknown
Firework,SF Bay Area,Retail,,0.1,2022-11-29,https://www.theinformation.com/articles/live-shopping-startup-firework-lays-off-10-of-staff,269.0,Series B,2022-12-01 06:36:01,United States,Unknown
Lazerpay,Lagos,Crypto,,,2022-11-29,https://techpoint.africa/2022/11/29/lazerpay-starts-layoff,,Unknown,2022-11-30 05:59:51,Nigeria,Unknown
MessageBird,Amsterdam,Other,,0.31,2022-11-29,https://tech.eu/2022/11/29/messagebird-lay-offs-close-to-a-third-of-the/,1100.0,Series C,2022-11-30 05:57:28,Netherlands,https://docs.google.com/spreadsheets/d/1n7SH4I4E16-Y7opqnKxHw1WHwIOIQIJg_BaEzrAG3F0/edit#gid=1288855899
Plerk,Guadalajara,Finance,,0.4,2022-11-29,https://www.linkedin.com/posts/mikemedina20_hoy-es-uno-de-los-momentos-m%C3%A1s-complicados-activity-7003406809403170817-N_Hf/,13.0,Series A,2022-11-30 06:15:57,Mexico,Unknown
Proton.ai,Boston,Unknown,,,2022-11-29,https://docs.google.com/spreadsheets/d/15EHi8nTiILQk6xztU5LSIcuUm-XhRQm52U-GNvPGrWg/edit#gid=0,20.0,Series A,2022-12-03 05:13:04,United States,https://docs.google.com/spreadsheets/d/15EHi8nTiILQk6xztU5LSIcuUm-XhRQm52U-GNvPGrWg/edit#gid=0
Infarm,Berlin,Other,500,0.5,2022-11-28,https://www.infarm.com/news/note-from-infarm-s-founders-strategy-shift-and-profitability-at-infarm,604.0,Series D,2022-11-29 04:21:05,Germany,Unknown
Wildlife Studios,Sao Paulo,Consumer,300,0.2,2022-11-28,https://mobilegamer.biz/massive-layoffs-at-wildlife-as-it-drops-all-non-mobile-game-projects/,260.0,Unknown,2022-11-29 15:59:03,Brazil,https://docs.google.com/spreadsheets/d/1zyAOWdW3SFJ9bUdJWRxYGdDLEw_I6gCMlOjlrFLjqrw/edit#gid=759761140
Hirect,Bengaluru,Recruiting,200,0.4,2022-11-28,https://www.livemint.com/companies/start-ups/startup-direct-hiring-platform-hirect-fires40ofworkforce-11669662447280.html,,Series A,2022-11-29 04:27:35,India,Unknown
ApplyBoard,Waterloo,Education,90,0.06,2022-11-28,https://www.therecord.com/news/waterloo-region/2022/11/28/applyboard-lays-off-six-per-cent-of-its-workforce.html,483.0,Series D,2022-11-30 06:14:53,Canada,Unknown
Ajaib,Jakarta,Finance,67,0.08,2022-11-28,https://www.techinasia.com/indonesian-investment-platform-ajaib-lays-8-headcount,245.0,Unknown,2022-11-30 06:12:35,Indonesia,Unknown
Candy Digital,New York City,Crypto,33,0.33,2022-11-28,https://decrypt.co/115811/gary-vee-sports-nft-candy-digital-mass-layoffs,100.0,Series A,2022-11-29 04:24:38,United States,Unknown
ResearchGate,Berlin,Other,25,0.1,2022-11-28,https://www.linkedin.com/posts/ijad-madisch-4428229_today-we-are-reducing-the-size-of-the-researchgate-activity-7002973716632502273-7jum/,87.0,Series D,2022-11-28 18:00:13,Germany,Unknown
BlockFi,New York City,Crypto,,1.0,2022-11-28,https://decrypt.co/115744/crypto-lender-blockfi-files-bankruptcy-ftx-contagion-claims-another,1000.0,Series E,2022-11-30 06:05:58,United States,Unknown
FutureLearn,London,Education,,,2022-11-28,https://www.classcentral.com/report/futurelearn-layoffs/,50.0,Unknown,2022-11-30 06:11:06,United Kingdom,Unknown
Inspectify,Seattle,Real Estate,,,2022-11-28,https://www.bizjournals.com/seattle/news/2022/11/28/inspectify-layoffs-seattle-real-estate-tech.html,11.0,Series A,2022-11-30 06:10:07,United States,Unknown
NCX,SF Bay Area,Energy,,0.4,2022-11-28,https://ncx.com/learning-hub/an-update-from-ncx-co-founders-zack-parisa-and-max-nova/,78.0,Series B,2022-12-01 06:22:17,United States,Unknown
Zilch,London,Finance,,,2022-11-26,https://www.standard.co.uk/business/london-fintech-unicorn-zilch-poised-to-begin-wave-of-layoffs-as-downturn-hits-buy-now-pay-later-sector-b1042587.html,389.0,Unknown,2022-11-29 04:26:19,United Kingdom,Unknown
VerSe Innovation,Bengaluru,Media,150,0.05,2022-11-25,https://techcrunch.com/2022/11/28/verse-innovation-layoff-salary-cut/,1700.0,Series J,2022-11-28 18:02:57,India,Unknown
Carwow,London,Transportation,70,0.2,2022-11-25,https://www.ft.com/content/19150de3-bbd4-42b3-acbd-52b228dc1bf1,157.0,Unknown,2022-11-29 04:11:17,United Kingdom,Unknown
Vendease,Lagos,Food,27,0.09,2022-11-25,https://techcabal.com/2022/11/25/nigerian-food-procurement-platform-vendease-lays-off-9-of-its-workforce/,43.0,Series A,2022-11-30 05:55:37,Nigeria,Unknown
Lemon,Buenos Aires,Crypto,100,0.38,2022-11-24,https://www.forbesargentina.com/innovacion/lemon-despide-tercio-sus-empleados-anuncia-nuevo-foco-compania-sea-mas-sostenible-n25358,17.0,Series A,2022-11-25 04:10:29,Argentina,https://docs.google.com/spreadsheets/u/1/d/1bCJqnr1S86iwwFbMWoAk-4Gb5CM8ZeE3AKJs_fC-1S0/htmlview#gid=0
Quidax,Lagos,Crypto,20,0.2,2022-11-24,https://techcabal.com/2022/11/24/nigerian-crypto-exchange-quidax-lays-off-20-of-its-workforce/,3.0,Unknown,2022-11-26 16:24:18,Nigeria,Unknown
Menulog,Sydney,Food,,,2022-11-24,https://www.smh.com.au/technology/difficult-decision-menulog-cuts-jobs-in-australia-20221124-p5c111.html,,Acquired,2022-11-28 17:56:12,Australia,Unknown
Utopia Music,Zug,Media,,,2022-11-24,https://www.musicbusinessworldwide.com/utopia-music-makes-layoffs-as-it-downsizes-global-team/,,Series B,2022-11-25 22:23:39,Switzerland,Unknown
Assure,Salt Lake City,Finance,,1.0,2022-11-23,https://www.axios.com/2022/11/23/assure-shutdown-fintech-startup-investing,2.0,Seed,2022-11-25 04:07:03,United States,Unknown
GoodGood,Toronto,Retail,,1.0,2022-11-23,https://betakit.com/one-year-after-raising-6-5-million-goodgood-shuts-down-claiming-it-cant-find-more-money/,6.0,Seed,2022-11-25 04:07:55,Canada,Unknown
